	initial	nucleus	coda	tone	initial=initial	nucleus=nucleus	coda=coda	tone_number=tone	tone_category=tone	tone_name=tone
=	...	...	ŋ	...	...	...	ng	...	...	...
=	...	...	p̚	...	...	...	p	...	...	...
=	...	...	t̚	...	...	...	t	...	...	...
=	...	...	k̚	...	...	...	k	...	...	...
=	...	...	ʔ	...	...	...	h	...	...	...
=	...	...	...	˥	...	...	...	55	^	1
=	...	...	...	˥˧	...	...	...	53	^	1
=	...	...	...	˧˥	...	...	...	35	^	2
=	...	...	...	˧	...	...	...	33	^	3
=	...	...	...	˩	...	...	...	11	_	1
=	...	...	...	˩˧	...	...	...	13	_	2
=	...	...	...	˨	...	...	...	22	_	3
=	...	...	p̚	˥	...	...	p	55	^	4
=	...	...	t̚	˥	...	...	t	55	^	4
=	...	...	k̚	˥	...	...	k	55	^	4
=	...	...	ʔ	˥	...	...	h	55	^	4
>	...	...	p̚	˥˧	...	...	p	53	?	4
>	...	...	t̚	˥˧	...	...	t	53	?	4
>	...	...	k̚	˥˧	...	...	k	53	?	4
>	...	...	ʔ	˥˧	...	...	h	53	?	4
>	...	...	p̚	˧˥	...	...	p	35	?	4
>	...	...	t̚	˧˥	...	...	t	35	?	4
>	...	...	k̚	˧˥	...	...	k	35	?	4
>	...	...	ʔ	˧˥	...	...	h	35	?	4
=	...	...	p̚	˧	...	...	p	33	-	4
=	...	...	t̚	˧	...	...	t	33	-	4
=	...	...	k̚	˧	...	...	k	33	-	4
=	...	...	ʔ	˧	...	...	h	33	-	4
>	...	...	p̚	˩	...	...	p	11	?	4
>	...	...	t̚	˩	...	...	t	11	?	4
>	...	...	k̚	˩	...	...	k	11	?	4
>	...	...	ʔ	˩	...	...	h	11	?	4
>	...	...	p̚	˩˧	...	...	p	13	?	4
>	...	...	t̚	˩˧	...	...	t	13	?	4
>	...	...	k̚	˩˧	...	...	k	13	?	4
>	...	...	ʔ	˩˧	...	...	h	13	?	4
=	...	...	p̚	˨	...	...	p	22	_	4
=	...	...	t̚	˨	...	...	t	22	_	4
=	...	...	k̚	˨	...	...	k	22	_	4
=	...	...	ʔ	˨	...	...	h	22	_	4
x	...	...	p̚	˥	...	...	p	55	^	1
x	...	...	t̚	˥	...	...	t	55	^	1
x	...	...	k̚	˥	...	...	k	55	^	1
x	...	...	ʔ	˥	...	...	h	55	^	1
x	...	...	p̚	˥˧	...	...	p	53	^	1
x	...	...	t̚	˥˧	...	...	t	53	^	1
x	...	...	k̚	˥˧	...	...	k	53	^	1
x	...	...	ʔ	˥˧	...	...	h	53	^	1
x	...	...	p̚	˧˥	...	...	p	35	^	2
x	...	...	t̚	˧˥	...	...	t	35	^	2
x	...	...	k̚	˧˥	...	...	k	35	^	2
x	...	...	ʔ	˧˥	...	...	h	35	^	2
x	...	...	p̚	˧	...	...	p	33	^	3
x	...	...	t̚	˧	...	...	t	33	^	3
x	...	...	k̚	˧	...	...	k	33	^	3
x	...	...	ʔ	˧	...	...	h	33	^	3
x	...	...	p̚	˩	...	...	p	11	_	1
x	...	...	t̚	˩	...	...	t	11	_	1
x	...	...	k̚	˩	...	...	k	11	_	1
x	...	...	ʔ	˩	...	...	h	11	_	1
x	...	...	p̚	˩˧	...	...	p	13	_	2
x	...	...	t̚	˩˧	...	...	t	13	_	2
x	...	...	k̚	˩˧	...	...	k	13	_	2
x	...	...	ʔ	˩˧	...	...	h	13	_	2
x	...	...	p̚	˨	...	...	p	22	_	3
x	...	...	t̚	˨	...	...	t	22	_	3
x	...	...	k̚	˨	...	...	k	22	_	3
x	...	...	ʔ	˨	...	...	h	22	_	3
<	...	...	...	˥	...	...	...	""	^	1
<	...	...	...	˧˥	...	...	...	""	^	2
<	...	...	...	˧	...	...	...	""	^	3
<	...	...	...	˥	...	...	...	""	^	4
<	...	...	...	˧	...	...	...	""	-	4
<	...	...	...	˩	...	...	...	""	_	1
<	...	...	...	˩˧	...	...	...	""	_	2
<	...	...	...	˨	...	...	...	""	_	3
<	...	...	...	˨	...	...	...	""	_	4
<	...	...	...	˥	...	...	...	55	""	""
<	...	...	...	˥˧	...	...	...	53	""	""
<	...	...	...	˧˥	...	...	...	35	""	""
<	...	...	...	˧	...	...	...	33	""	""
<	...	...	...	˩	...	...	...	11	""	""
<	...	...	...	˩˧	...	...	...	13	""	""
<	...	...	...	˨	...	...	...	22	""	""
